Plot__url,Plot__Price,Plot__Beds,Build__Area,Plot__Area,Plot__DESC,Plot__Area_Cents,Price_per_sqft,Price_per_cent,Total_Area,Build_to_Plot_Ratio,Standardized_Location_Name,Notes
https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-peyad-trivandrum-2200-sq-ft-r3-spid-F38813383,5500000.0,2.0,1000.0,1000.0,"An impeccable opportunity is here for those who are looking to own aesthetically designed independent villa in , peyad, kerala which ensures a relaxed and comfortable stay. Being an independent villa it provides you a serene and tranquil environment with a modern setup. This villa provides ample natural light and has good ventilation that invites comfort.",2.295684113865932,5500.0,2395800.0,2000.0,1.0,peyad,No anomalies detected.
https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-chenkottukonam-trivandrum-1742-sq-ft-r1-spid-Q73189523,6900000.0,4.0,1700.0,1742.0,"House for sale in gated community near technopark, chengottukonam",3.999081726354453,3960.964408725603,1725396.0964408726,3442.0,0.9758897818599312,chenkottukonam,No anomalies detected.
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-puthenthope-trivandrum-958320-sq-ft-spid-C75668759,7500000.0,3.0,1742.0,1742.0,"Planning to buy an individual house in trivandrum. Then you should definitely check out this 3 bhk house for sale in puthenthope, a well-Planned and well-Connected locality in trivandrum. The floor plan additionally contains 3 bedrooms, 3 bathrooms and 2 balconies. All in all, the independent house is spread over a built up area of 2200 sq.Ft. This 3 bhk house comes attached with 1 covered and 1 open parking for your vehicle(s). This 0-1 year old property is available for immediate possession as the house is ready to move. It is a freehold property. This independent house is available at an attractive price of 85 lac. You can enjoy additional wellness features and amenities such as club house / community center, that are part of this housing locality. You enjoy a 24*7 water supply in your house.",3.999081726354453,4305.3960964408725,1875430.5396096443,3484.0,1.0,puthenthope,No anomalies detected.
https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-venjaramoodu-trivandrum-1800-sq-ft-spid-J77081363,6500000.0,4.0,1800.0,3049.0,4 bhk new house for sale near venjaramoodu. 7cent 1800sqft house with semi furnished. Amenities * 100mtr to govt pirappancode school and university college. * 500mtr to mc road. * 3km to hospital. * residential area with govt employees * life time guarantee construction. * 2km to petrol pump * 750 mtr to bus stop * 4km to gokulum hospital.,6.999540863177226,2131.846507051492,928632.33847163,4849.0,0.5903574942604133,venjaramoodu,No anomalies detected.
https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-uliyazhathura-trivandrum-609840-sq-ft-spid-F77077837,5400000.0,4.0,1400.0,1524.0,"3.2 cent 4 bedroom 4 bathroom 1400sqft 5400,000 Subash nagar ,powdikonam sreekaryam * powdikonam - Jn 1.5 km * sreekaryam -5 km * mc road- 1.5 km * mannanthala 3 km * all facilities within 1.5 km",3.49862258953168,3543.3070866141734,1543464.566929134,2924.0,0.9186351706036744,uliyazhathura,No anomalies detected.
https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-thirumala-trivandrum-3093-sq-ft-spid-W77076181,16000000.0,2.0,1995.0,3092.0,"2 floor house, 2 bedroom, 2 attached bathroom, Kitchen, dining area, courtyard, 2 living room, 1 balcony, open accessible terrace, car porch 1995sq ft, appox 7.2cents",7.098255280073461,5174.64424320828,2254075.032341527,5087.0,0.6452134540750324,thirumala,No anomalies detected.
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-powdikonam-trivandrum-4792-sq-ft-spid-Y77044721,11800000.0,3.0,2150.0,4791.0,"2150 sqft,3abhk, all attached. One additional wash room , drawing room, dining, living room, balcony, sit out, kitchen, store, work area, covered side terrace, 3+ car parking space,42 rings deep well& cooperation water connection. Land located at samskara lane powdikonam Land area : 10.85( As per adharam, actual 11cents) 3.5 meter road lorry access Main stop 450meter Powdikonam junction 500 meter Sreekaryam 3 km Medical college 7 km Technopark 9 km Airport 12 km Trivandrum 10 km Mc road mannanthala junction 3 km Triveni supermarket 450 meter Public market 500 meter Central bank of india 450 meter Dm private hospital 550 meter Loyola school 4 km St. Thomas school 4.5km S n public school 3.5 km Sabarigiri international school 5 km Chempaka school 4 km Road concrete or interlock finishing Engineering colleges -3.5 km Kims 6 km Railway staion 10 km",10.99862258953168,2462.951367146733,1072861.6155291172,6941.0,0.4487580880818201,powdikonam,No anomalies detected.
https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-pothencode-trivandrum-2396-sq-ft-spid-O77031827,8000000.0,4.0,2000.0,2395.0,Key highlights:,5.498163452708907,3340.292275574113,1455031.3152400835,4395.0,0.8350730688935282,pothencode,No anomalies detected.
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-pallichal-trivandrum-2000-sq-ft-r1-spid-L73155529,6000000.0,3.0,2000.0,2500.0,Good and spacious with all facilities available near by such as hospital college,5.739210284664829,2400.0,1045440.0,4500.0,0.8,pallichal,No anomalies detected.
https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-pothencode-trivandrum-1800-sq-ft-spid-S76955025,6500000.0,4.0,1800.0,1800.0,"New launch ed home for sale near pothencode 1800sq.Ft, 4bhk owner",4.132231404958677,3611.1111111111113,1573000.0000000002,3600.0,1.0,pothencode,No anomalies detected.
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-puliyarakonam-trivandrum-1525-sq-ft-spid-I76954661,4100000.0,3.0,1525.0,1525.0,"2 floors, car parking , 3 bedrooms, 3 bathrooms, hall, separate dining area, north facing, common area on 1st floor, balcony , work area, funished kitchen, tarred road till entrance of the property entrance lane ( 10meters private lane with car access) , near to myladi - Puliyarakonam",3.500918273645546,2688.5245901639346,1171121.31147541,3050.0,1.0,puliyarakonam,No anomalies detected.
https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-kazhakootam-trivandrum-1000-sq-ft-spid-I76929399,10000000.0,2.0,1000.0,2100.0,Individual house for sale near kazhakootam,4.820936639118457,4761.9047619047615,2074285.7142857143,3100.0,0.4761904761904761,kazhakkoottam,No anomalies detected.
https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-kovalam-trivandrum-1132560-sq-ft-r19-spid-D28415859,15000000.0,5.0,2600.0,3049.0,"Interested to sell independent house/villa.It is more than 10 years old property constructionplaced at kovalam.2600.00 sq.Ft.(Builtup area) , 7.00 cents(Plot area) is the area of the propertynice unfurnished enhancing decorit has spacious 5 bedrooms and 4 bathrooms. .Want to sell it for rs 15000000 it's near to kovalam beach, vizhinjam mother port",6.999540863177226,4919.645785503444,2142997.7041653004,5649.0,0.8527386028205969,kovalam,No anomalies detected.
https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-alamcode-trivandrum-970-sq-ft-spid-B76869665,4500000.0,2.0,970.0,1742.0,2 bhk house for sale In attingal total 4 cent plot,3.999081726354453,2583.2376578645235,1125258.3237657866,2712.0,0.5568312284730195,alamcode,No anomalies detected.
